scenario,target_branch,c_star,s_star,i_star,residual_l2,max_real,unstable,mu,allee_type,use_adaptive_control,control_mode,hill_control
strong_corner_mu0_hillY_c0_s1_i0,c0_s1_i0,0.0,1.0,0.0,0.0,16.32,True,0.0,STRONG,True,hill,True
strong_corner_mu0_hillN_c0_s1_i0,c0_s1_i0,0.0,1.0,0.0,0.0,16.32,True,0.0,STRONG,False,none,False
strong_corner_mu1_hillN_c0_s1_i0,c0_s1_i0,0.0,1.0,0.0,0.0,16.32,True,1.0,STRONG,False,none,False
strong_corner_mu1_hillY_c0_s1_i0,c0_s1_i0,0.0,1.0,0.0,0.0,16.32,True,1.0,STRONG,True,hill,True
strong_corner_mu0_hillN_c0_s0_i1,c0_s1_i0,0.0,1.0,0.0,0.0,16.32,True,0.0,STRONG,False,none,False
strong_corner_mu1_hillY_c0_s0_i1,c0_s1_i0,0.0,1.0,0.0,0.0,16.32,True,1.0,STRONG,True,hill,True
strong_corner_mu1_hillN_c1_s0_i0,c0_s1_i0,0.0,1.0,0.0,0.0,16.32,True,1.0,STRONG,False,none,False
strong_mu0_uNo_bajo_umbral,c0_s1_i0,0.0,1.0,0.0,0.0,19.4,True,0.0,STRONG,False,none,False
strong_mu0_uSi_bajo_umbral,c0_s1_i0,0.0,1.0,0.0,0.0,19.4,True,0.0,STRONG,True,min_adaptive,False
strong_mu1_uNo_sobre_umbral,c0_s1_i0,0.0,1.0,0.0,0.0,15.4,True,1.0,STRONG,False,none,False
strong_mu1_uNo_bajo_umbral,c0_s1_i0,0.0,1.0,0.0,0.0,15.4,True,1.0,STRONG,False,none,False
strong_mu1_uSi_bajo_umbral,c0_s1_i0,0.0,1.0,0.0,0.0,15.4,True,1.0,STRONG,True,min_adaptive,False
weak_mu0_uNo_bajo_umbral,c0_s1_i0,0.0,1.0,0.0,0.0,19.4,True,0.0,WEAK,False,none,False
weak_mu0_uNo_sobre_umbral,c0_s1_i0,0.0,1.0,0.0,0.0,19.4,True,0.0,WEAK,False,none,False
weak_mu0_uSi_bajo_umbral,c0_s1_i0,0.0,1.0,0.0,0.0,19.4,True,0.0,WEAK,True,min_adaptive,False
weak_mu1_uNo_bajo_umbral,c0_s1_i0,0.0,1.0,0.0,0.0,15.4,True,1.0,WEAK,False,none,False
weak_mu1_uNo_sobre_umbral,c0_s1_i0,0.0,1.0,0.0,0.0,15.4,True,1.0,WEAK,False,none,False
weak_mu1_uSi_bajo_umbral,c0_s1_i0,0.0,1.0,0.0,0.0,15.4,True,1.0,WEAK,True,min_adaptive,False
