a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag
0.1,3.0,1.0,3.0,0.5,6.0,1.3749491789663462e-21,-1.6367863224211287e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,0.5,8.0,1.3829662461283625e-21,-1.6360113282115073e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,0.5,10.0,1.3877931029916799e-21,-1.6355408466372528e-25,1.0,-1.299999967,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,0.5,12.0,1.3910181683206151e-21,-1.6352230836038685e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,0.5,12.0,3.460657294750759e-27,2.4968347342718875,2.5585459225666414,-70.5595145194067,0.0,15.092863653105397,0.0
0.1,3.0,1.0,3.0,0.5,12.0,1.784311859744923e-23,1.6387677623491241,1.671389944728689,-30.539965254848976,0.0,-8.03478022295281,0.0
0.1,3.0,1.0,3.0,0.5,14.0,1.3933251131518435e-21,-1.6349937900884095e-25,1.0,-1.299999967,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,0.5,14.0,2.4733976629171303e-21,3.0514270233644116,2.9952586169111273,-104.4321084517284,0.0,31.681065585205783,0.0
0.1,3.0,1.0,3.0,0.5,14.0,1.5693080172421626e-24,1.5040921799693376,1.484777132681053,-25.625200482067598,0.0,-11.096257563451847,0.0
0.1,3.0,1.0,3.0,1.0,6.0,1.3814075705756162e-21,-1.6361788378943503e-25,1.0,-1.299999967,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,1.0,8.0,1.3878289298985514e-21,-1.6355496288777992e-25,1.0,-1.299999967,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,1.0,10.0,1.391692379337315e-21,-1.6351665691155804e-25,1.0,-1.299999967,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,1.0,12.0,1.3942726108296608e-21,-1.634910066061867e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,1.0,12.0,3.451394342090234e-27,2.496834734271888,2.5585459225666423,-70.55951451940672,0.0,15.092863653105407,0.0
0.1,3.0,1.0,3.0,1.0,12.0,1.604913845844992e-23,1.6387677623491241,1.671389944728689,-30.539965254848976,0.0,-8.03478022295281,0.0
0.1,3.0,1.0,3.0,1.0,14.0,1.3961176618236641e-21,-1.634725176787206e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,1.0,14.0,2.3307049682838983e-21,3.0514270233644125,2.995258616911128,-104.43210845172847,0.0,31.681062332951843,0.0
0.1,3.0,1.0,3.0,1.0,14.0,1.6859071810601647e-24,1.5040921799693374,1.484777132681053,-25.62520048206759,0.0,-11.096257563451841,0.0
0.1,3.0,1.0,3.0,3.0,6.0,1.4074674075638623e-21,-1.6336618169388713e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,3.0,8.0,1.4074072016995758e-21,-1.6336469641671402e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,3.0,10.0,1.4073711412898763e-21,-1.633635747551144e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,3.0,12.0,1.4073470273897256e-21,-1.6336283827950367e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,3.0,12.0,3.412404275552103e-27,2.496834734271887,2.5585459225666414,-70.55951451940668,0.0,15.092865427213175,0.0
0.1,3.0,1.0,3.0,3.0,12.0,9.050547523059113e-24,1.6387677623491248,1.6713899447286895,-30.539965254849,0.0,-8.034780222952815,0.0
0.1,3.0,1.0,3.0,3.0,14.0,1.407329887019977e-21,-1.6336247774541808e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,3.0,14.0,1.8574494135655956e-21,3.051427023364412,2.995258616911128,-104.43210845172844,0.0,31.681062332951832,0.0
