rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,unstable
4.5,3.0,5.0,1.0,8.0,1.821999602906484e-19,2.6873912648632504e-18,1.0,-4.0,0.0,-8.12,0.0,False
4.5,3.0,5.0,1.0,8.0,1.2564550134818222e-21,0.4938606134207714,1.1524364409302128,-7.985564429687797,0.0,9.992917437154183,0.0,True
4.5,3.0,5.0,1.0,8.0,1.2177759439925704,-2.441203595507978e-25,0.5365692969478137,11.336330441571857,0.0,-20.35588970900157,0.0,True
4.5,3.0,5.0,1.0,8.0,-0.4414938447869058,5.208675839776928e-26,0.9390884953172736,5.72644540944531,0.0,-9.850827357474333,0.0,True
4.5,3.0,5.0,1.0,10.0,3.070972405250401e-20,1.2815179392014802e-18,1.0,-4.0,0.0,-8.12,0.0,False
4.5,3.0,5.0,1.0,10.0,3.7063920445855446e-23,0.5123140996718911,1.1312328683613102,-7.995375684323751,0.0,9.690659669688154,0.0,True
4.5,3.0,5.0,1.0,10.0,1.2645190430559372,-6.088632729216075e-19,0.6002478974372243,11.863921916511115,0.0,-20.67271150807991,0.0,True
4.5,3.0,5.0,1.0,12.0,9.483248281376307e-21,7.66645700019413e-19,1.0,-4.0,0.0,-8.12,0.0,False
4.5,3.0,5.0,1.0,12.0,1.8129981949176062e-24,0.5259785668241677,1.1152722719826689,-8.00745080484566,0.0,9.472038170147385,0.0,True
4.5,3.0,5.0,1.0,12.0,-0.4539146575442806,4.390538275292853e-21,0.9570753090971789,5.681910947031142,0.0,-9.745359584133915,0.0,True
4.5,3.0,5.0,1.0,12.0,1.300941292424592,-1.3469601330308084e-19,0.6474066153467983,12.207929904874522,0.0,-20.925145613087913,0.0,True
4.5,3.0,5.0,3.0,8.0,8.65403984191298e-23,6.691426835811713e-19,1.0,-6.0,0.0,-8.12,0.0,False
4.5,3.0,5.0,3.0,8.0,1.6844861191368905e-22,0.4938606134207713,1.1524364409302128,-10.641783930455588,0.0,9.99291743715418,0.0,True
4.5,3.0,5.0,3.0,8.0,1.1125826512329162,-4.775676672191888e-23,0.3037149123487385,10.997423806087141,0.0,-19.90015117165811,0.0,True
4.5,3.0,5.0,3.0,8.0,-0.5137147179578457,-9.956654907937644e-26,0.8515546685613387,9.15027475242687,0.0,-11.03810467921902,0.0,True
4.5,3.0,5.0,3.0,8.0,-3.943195829434425e-22,-1.6079653733253538,2.6159704011333402,-69.39746379190863,0.0,63.45010907141916,0.0,True
4.5,3.0,5.0,3.0,10.0,1.5195823278537372e-23,3.6739609800693457e-19,1.0,-6.0,0.0,-8.12,0.0,False
4.5,3.0,5.0,3.0,10.0,4.343881507261227e-24,0.5123140996718911,1.1312328683613102,-10.554751289245665,0.0,9.690659669688154,0.0,True
4.5,3.0,5.0,3.0,10.0,1.1713361619891969,-1.5923189310024276e-19,0.38258721802738815,12.381362290017174,0.0,-20.414501268654274,0.0,True
4.5,3.0,5.0,3.0,10.0,1.6873316666397675e-24,-1.866975326809344,2.7427984354574284,-83.33980125051315,0.0,71.1081801540672,0.0,True
4.5,3.0,5.0,3.0,12.0,5.173577600025778e-24,2.474477747539623e-19,1.0,-6.0,0.0,-8.12,0.0,False
4.5,3.0,5.0,3.0,12.0,5.480066925952378e-17,0.5259785668241677,1.1152722719826689,-10.49511528615243,0.0,9.472038170147385,0.0,True
4.5,3.0,5.0,3.0,12.0,1.2205782895753114,-5.982883807757855e-25,0.4413207396315276,13.314601724133253,0.0,-20.861576485603575,0.0,True
4.5,3.0,5.0,3.0,12.0,8.485466143480993e-26,-2.1112632225097405,2.857263497800923,-97.83718722134884,0.0,78.43405048196502,0.0,True
4.5,3.0,5.0,5.0,8.0,3.024429478485425e-25,1.3889490487702218e-19,1.0,-8.0,0.0,-8.12,0.0,False
4.5,3.0,5.0,5.0,8.0,3.1090645949999314e-23,0.4938606134207713,1.1524364409302128,-13.298003431223378,0.0,9.99291743715418,0.0,True
4.5,3.0,5.0,5.0,8.0,1.0316698340789334,-5.628099236268655e-24,0.13522159967938108,8.62902296515402,0.0,-19.254980077209204,0.0,True
4.5,3.0,5.0,5.0,8.0,-2.2236969583673032e-21,-1.6079653733253534,2.61597040113334,-83.08406607112005,0.0,63.450109071419085,0.0,True
4.5,3.0,5.0,5.0,10.0,1.0878874444004618e-25,9.645796824612828e-20,1.0,-8.0,0.0,-8.12,0.0,False
4.5,3.0,5.0,5.0,10.0,7.569852054085201e-25,0.5123140996718911,1.1312328683613102,-13.114126894167581,0.0,9.690659669688154,0.0,True
4.5,3.0,5.0,5.0,10.0,1.0880515686672565,-1.4387172466306113e-24,0.23049345954846956,11.2772598841474,0.0,-19.779922689590666,0.0,True
4.5,3.0,5.0,5.0,10.0,1.0733275908637878e-18,-1.866975326809344,2.7427984354574284,-98.38568776560858,0.0,71.1081801540672,0.0,True
4.5,3.0,5.0,5.0,12.0,5.869447766628612e-26,7.719013196726522e-20,1.0,-8.0,0.0,-8.12,0.0,False
4.5,3.0,5.0,5.0,12.0,1.450263052995997e-17,0.5259785668241678,1.1152722719826689,-12.9827797674592,0.0,9.472038170147393,0.0,True
4.5,3.0,5.0,5.0,12.0,1.1399234594650738,5.080689078552432e-22,0.296144524387305,12.956117836108747,0.0,-20.28313123999419,0.0,True
4.5,3.0,7.0,1.0,8.0,-6.304151316270593e-23,0.3476502122487058,1.1057530863169989,-6.215392495637483,0.0,7.835401229014966,0.0,True
4.5,3.0,7.0,1.0,8.0,1.2177759439925704,-7.828931878804544e-26,0.5365692969478137,11.336330441571857,0.0,-19.78007648814743,0.0,True
4.5,3.0,7.0,1.0,8.0,3.995133320718022e-20,1.2154296009914745e-18,1.0,-4.0,0.0,-6.119999999999999,0.0,False
4.5,3.0,7.0,1.0,8.0,6.638875158884328e-22,-1.0466728820401572,1.9585836067484677,-27.351143355596154,0.0,38.836703648143455,0.0,True
4.5,3.0,7.0,1.0,8.0,-0.44149384478690573,8.028875328838699e-19,0.9390884953172736,5.72644540944531,0.0,-8.087052953399812,0.0,True
4.5,3.0,7.0,1.0,10.0,-7.998390823287215e-21,0.36331339931827683,1.0923976382869411,-6.220013422860799,0.0,7.592850730798269,0.0,True
4.5,3.0,7.0,1.0,10.0,1.2645190430559372,-3.638661491715107e-21,0.6002478974372243,11.863921916511115,0.0,-19.952116431324296,0.0,True
4.5,3.0,7.0,1.0,10.0,4.531839266818239e-19,1.7652787833419646e-17,1.0,-4.0,0.0,-6.119999999999998,0.0,False
4.5,3.0,7.0,1.0,12.0,3.62288370815519e-20,-1.3809945916235797,2.1125018695545874,-38.75297743603211,0.0,47.68589477877573,0.0,True
4.5,3.0,7.0,1.0,12.0,1.8328046433549592e-24,0.3752257558021022,1.082130047893401,-6.227128033492254,0.0,7.411472910614034,0.0,True
4.5,3.0,7.0,1.0,12.0,1.300941292424592,-2.817085908307114e-19,0.6474066153467983,12.207929904874522,0.0,-20.086874961898317,0.0,True
4.5,3.0,7.0,1.0,12.0,3.506153608623538e-18,3.468543505288584e-17,1.0,-4.0,0.0,-6.119999999999998,0.0,False
4.5,3.0,7.0,3.0,8.0,-6.260115929745355e-19,0.34765021224870607,1.105753086316999,-8.660772271436624,0.0,7.835401229014981,0.0,True
4.5,3.0,7.0,3.0,8.0,1.112582651232916,-1.7692280061999814e-21,0.3037149123487387,10.997423806087134,0.0,-19.715665675692104,0.0,True
4.5,3.0,7.0,3.0,8.0,-0.5137147179578457,1.710892613161327e-21,0.8515546685613387,9.15027475242687,0.0,-9.587813972121797,0.0,True
4.5,3.0,7.0,3.0,8.0,1.019822343804552e-24,3.826185818968375e-23,1.0,-6.0,0.0,-6.119999999999999,0.0,False
4.5,3.0,7.0,3.0,10.0,-3.6864241291398826e-22,0.3633133993182768,1.0923976382869411,-8.60667862313057,0.0,7.5928507307982676,0.0,True
4.5,3.0,7.0,3.0,10.0,1.1713361619891969,-5.566077823912723e-20,0.38258721802738815,12.381362290017174,0.0,-20.1217553098584,0.0,True
4.5,3.0,7.0,3.0,10.0,3.300976886052529e-18,5.711528002666083e-19,1.0,-6.0,0.0,-6.119999999999998,0.0,False
4.5,3.0,7.0,3.0,12.0,1.5202095906025237e-23,-1.3809945916235795,2.1125018695545865,-47.678305733775346,0.0,47.685894778775676,0.0,True
4.5,3.0,7.0,3.0,12.0,3.03067848944994e-25,0.3752257558021022,1.082130047893401,-8.569138914599803,0.0,7.411472910614034,0.0,True
4.5,3.0,7.0,3.0,12.0,1.2205782895753114,-3.4238459634252354e-25,0.4413207396315276,13.314601724133253,0.0,-20.47204849514574,0.0,True
4.5,3.0,7.0,3.0,12.0,1.2056874578944124e-25,3.0158196943729245e-27,1.0,-6.0,0.0,-6.12,0.0,False
4.5,3.0,7.0,5.0,8.0,-1.9616724743807865e-20,0.34765021224870574,1.1057530863169989,-11.106152047235756,0.0,7.835401229014964,0.0,True
4.5,3.0,7.0,5.0,8.0,1.0316698340789334,2.2968691053163916e-23,0.13522159967938108,8.62902296515402,0.0,-19.218410315169503,0.0,True
4.5,3.0,7.0,5.0,8.0,1.1540689423699303e-24,2.955358311305576e-18,1.0,-8.0,0.0,-6.119999999999999,0.0,False
