a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,unstable,max_real
0.02,3.0,1.0,3.0,5.0,6.0,1.0088361907798713,1.2206810281961013e-19,0.06706207849169588,4.636848872201326,0.0,-19.060348222874477,0.0,True,4.636848872201326
0.02,3.0,1.0,5.0,5.0,6.0,1.0088361907798713,1.5996571862585094e-19,0.06706207849169588,4.636848872201326,0.0,-19.051353578131227,0.0,True,4.636848872201326
0.02,3.0,1.0,7.0,5.0,6.0,1.0088361907798713,2.072107338478824e-19,0.06706207849169588,4.636848872201326,0.0,-19.042358933387973,0.0,True,4.636848872201326
0.02,3.0,1.0,9.0,5.0,6.0,1.0088361907798713,2.6653520326434495e-19,0.06706207849169588,4.636848872201326,0.0,-19.03336428864472,0.0,True,4.636848872201326
0.05,3.0,1.0,3.0,5.0,6.0,1.008834534721233,8.801988831615847e-20,0.06706514142431041,4.638632850480171,0.0,-19.06032744332752,0.0,True,4.638632850480171
0.05,3.0,1.0,5.0,5.0,6.0,1.008834534721233,1.13618236373705e-19,0.06706514142431041,4.638632850480171,0.0,-19.051331976938997,0.0,True,4.638632850480171
0.05,3.0,1.0,7.0,5.0,6.0,1.008834534721233,1.441821173366647e-19,0.06706514142431041,4.638632850480171,0.0,-19.04233651055047,0.0,True,4.638632850480171
0.05,3.0,1.0,9.0,5.0,6.0,1.008834534721233,1.8040044987067202e-19,0.06706514142431041,4.638632850480171,0.0,-19.033341044161944,0.0,True,4.638632850480171
0.1,3.0,1.0,3.0,5.0,6.0,1.008831532504533,4.251624499550313e-20,0.06707069410584265,4.641868659066796,0.0,-19.060289772682832,0.0,True,4.641868659066796
0.1,3.0,1.0,5.0,5.0,6.0,1.008831532504533,5.1414773720980874e-20,0.06707069410584265,4.641868659066796,0.0,-19.051292816667154,0.0,True,4.641868659066796
