a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,unstable
0.1,4.5,1.0,3.0,0.5,4.0,1.1226015686847435,6.3245690480930214e-27,0.6849414294966383,9.2146184166077,0.0,-19.08493626425597,0.0,True
0.1,4.5,1.0,3.0,0.5,4.0,-3.433844305472005e-27,4.066048788658332e-24,1.0,-1.5,0.0,-10.12,0.0,False
0.1,4.5,1.0,3.0,0.5,4.0,-5.396283331991015e-19,0.6203175229988641,1.2885953720045848,-6.708057418687783,0.0,12.601157830709688,0.0,True
0.1,4.5,1.0,3.0,0.5,4.0,9.224134156442462e-23,-1.832989281291648,3.519887278997554,-55.4083624556908,0.0,82.3878107636686,0.0,True
0.1,4.5,1.0,3.0,0.5,6.0,4.453359820903025e-24,-7.746927919313797e-33,1.0,-1.5,0.0,-10.12,0.0,False
0.1,4.5,1.0,3.0,0.5,6.0,1.1506983261457864,2.034018618101689e-18,0.7793155603675476,9.896782429983958,0.0,-19.044025603206126,0.0,True
0.1,4.5,1.0,3.0,0.5,6.0,-3.526574113008058e-18,0.6606513798343443,1.2182301228385115,-7.009731240906875,0.0,11.858000215658079,0.0,True
0.1,4.5,1.0,3.0,0.5,6.0,1.3927339281676963e-24,-2.386897723768044,3.848640371864535,-84.66024601918899,0.0,100.24460994513586,0.0,True
0.1,4.5,1.0,3.0,0.5,8.0,7.866856948598101e-20,7.615245489937693e-29,1.0,-1.5,0.0,-10.12,0.0,False
0.1,4.5,1.0,3.0,0.5,8.0,1.1662085912955766,1.1434439597267831e-25,0.8299946901985483,10.260656402522912,0.0,-19.009574941434586,0.0,True
0.1,4.5,1.0,3.0,0.5,8.0,-2.467324670880828e-19,0.6840537753671423,1.1754735878477653,-7.201115294422235,0.0,11.4499603473761,0.0,True
0.1,4.5,1.0,3.0,0.5,10.0,2.758128146170967e-23,1.346437692748421e-31,1.0,-1.5,0.0,-10.12,0.0,False
0.1,4.5,1.0,3.0,0.5,10.0,1.1760297923662497,6.955521338776273e-23,0.8616953927466995,10.487117538224132,0.0,-18.98326267467541,0.0,True
0.1,4.5,1.0,3.0,0.5,10.0,5.629656832186366e-20,0.6993236796618852,1.1467160826807516,-7.33246421535483,0.0,11.19402697633918,0.0,True
0.1,4.5,1.0,3.0,1.0,4.0,1.1055616040644245,4.3676496891203096e-24,0.5416500773569363,9.363334934287781,0.0,-19.390104374329468,0.0,True
0.1,4.5,1.0,3.0,1.0,4.0,-1.465085184314096e-26,3.1253467976796634e-21,1.0,-2.0,0.0,-10.12,0.0,False
0.1,4.5,1.0,3.0,1.0,4.0,2.05902118609187e-18,-1.832989281291648,3.519887278997554,-61.603165684115204,0.0,82.3878107636686,0.0,True
0.1,4.5,1.0,3.0,1.0,4.0,3.243382876369691e-25,0.6203175229988641,1.2885953720045848,-7.5382964350636,0.0,12.601157830709688,0.0,True
0.1,4.5,1.0,3.0,1.0,6.0,1.1489691509435984,1.0238125109287495e-21,0.6699674725449867,10.573773404889955,0.0,-19.49619189964236,0.0,True
0.1,4.5,1.0,3.0,1.0,6.0,3.039257189091657e-23,3.771922332115124e-19,1.0,-2.0,0.0,-10.12,0.0,False
0.1,4.5,1.0,3.0,1.0,6.0,-2.5119403942981618e-17,0.6606513798343442,1.2182301228385115,-7.751773557002441,0.0,11.858000215658073,0.0,True
0.1,4.5,1.0,3.0,1.0,6.0,4.829576068012601,-5.16582506362673,8.51167304481704,2734.051805249307,0.0,393.65673258985044,0.0,True
0.1,4.5,1.0,3.0,1.0,8.0,2.0890318669223377e-25,0.6840537753671423,1.1754735878477653,-7.891984372286084,0.0,11.4499603473761,0.0,True
0.1,4.5,1.0,3.0,1.0,8.0,1.1743030009945485,-4.0762545518060567e-19,0.7414398365978495,11.242181088996166,0.0,-19.537878004264357,0.0,True
0.1,4.5,1.0,3.0,1.0,8.0,5.051699639354136e-22,6.089716490914884e-18,1.0,-2.0,0.0,-10.12,0.0,False
0.1,4.5,1.0,3.0,1.0,8.0,5.1728192120855345,-5.909148235428981,9.077126337929814,3027.5535975593075,0.0,470.01383561741534,0.0,True
0.1,4.5,1.0,3.0,1.0,10.0,6.411107281562283e-19,5.5128883767399485e-27,1.0,-2.0,0.0,-10.12,0.0,False
0.1,4.5,1.0,3.0,1.0,10.0,1.1908516775294518,1.6799324858258183e-21,0.7872808423187936,11.66747525996742,0.0,-19.556613775520482,0.0,True
0.1,4.5,1.0,3.0,1.0,10.0,-2.1524997499379847e-22,0.6993236796618851,1.1467160826807516,-7.989943102494172,0.0,11.194026976339174,0.0,True
0.1,4.5,1.0,3.0,3.0,4.0,1.0100313643923133,-6.11162799481588e-21,0.10735706257582667,6.272477945090362,0.0,-19.05337902212403,0.0,True
0.1,4.5,1.0,3.0,3.0,4.0,1.5259603373766643e-20,5.149435027305432e-20,1.0,-4.0,0.0,-10.12,0.0,False
0.1,4.5,1.0,3.0,3.0,4.0,-4.261951991366783e-24,0.6203175229988642,1.2885953720045848,-10.859252500566871,0.0,12.601157830709695,0.0,True
