rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,unstable,max_real
5.0,9.0,3.5,7.0,12.5,3.384288064887601e-20,3.053253857256217e-19,1.0,-52.1,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,9.0,3.5,5.08,12.5,3.7482807347265344e-20,2.4267555331146793e-19,1.0,-50.18000000000001,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,7.6,3.5,7.0,12.5,4.188411502541853e-20,2.810818205709435e-19,1.0,-50.7,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,9.0,3.5,7.0,10.92,4.34564860112731e-20,3.494167360882035e-19,1.0,-52.1,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,9.0,3.5,5.08,10.92,4.501244828640229e-20,2.7014518101623975e-19,1.0,-50.18,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,9.0,3.5,3.0,12.5,4.664546033532752e-20,1.8731537929240843e-19,1.0,-48.1,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,7.6,3.5,5.08,12.5,4.918356549413132e-20,2.2270415306960164e-19,1.0,-48.78,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,7.6,3.5,7.0,10.92,5.206967135274986e-20,3.18511103516463e-19,1.0,-50.7,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,9.0,3.5,3.0,10.92,5.2155226385012277e-20,2.016840396762087e-19,1.0,-48.1,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,7.6,3.5,5.08,10.92,5.723100210968086e-20,2.4520986022491994e-19,1.0,-48.78,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,9.0,3.5,5.08,9.0,6.070413236119285e-20,3.2231422147904037e-19,1.0,-50.18,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,9.0,3.5,3.0,9.0,6.275086638674601e-20,2.280577500045758e-19,1.0,-48.1,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,9.0,3.5,7.0,9.0,6.498049133820435e-20,4.352436328911647e-19,1.0,-52.1,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,7.6,3.5,3.0,12.5,6.615204888863079e-20,1.7129883295673474e-19,1.0,-46.7,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,5.0,3.5,7.0,12.5,6.80654678950694e-20,2.4029346701777127e-19,1.0,-48.1,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,9.0,3.5,7.0,12.5,7.070819847666408e-20,3.048858943264146e-19,1.0,-58.1648,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,7.6,3.5,3.0,10.92,7.193901091640031e-20,1.8223070329821924e-19,1.0,-46.7,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,7.6,3.5,5.08,9.0,7.34172699127378e-20,2.874885541350169e-19,1.0,-48.78,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,7.6,3.5,7.0,9.0,7.410039831408443e-20,3.907755469960047e-19,1.0,-50.7,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,9.0,3.5,5.08,12.5,7.920039492106432e-20,2.4252198206086863e-19,1.0,-56.2448,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,5.0,3.5,7.0,10.92,7.975322945123677e-20,2.670608571565768e-19,1.0,-48.1,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,7.6,3.5,3.0,9.0,8.27146879093672e-20,2.020347222506657e-19,1.0,-46.7,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,7.6,3.5,7.0,12.5,8.658608381539717e-20,2.8067917748308624e-19,1.0,-56.7648,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,9.0,3.5,7.0,10.92,8.793556436129208e-20,3.485475889842605e-19,1.0,-58.1648,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,5.0,3.5,5.08,12.5,9.074977497686526e-20,1.892425873350348e-19,1.0,-46.18,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,9.0,3.5,5.08,10.92,9.275452312398282e-20,2.6977472688643817e-19,1.0,-56.2448,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,9.0,3.5,3.0,12.5,9.86326721207635e-20,1.8727871838916614e-19,1.0,-54.1648,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,5.0,3.5,5.08,10.92,1.0001412998279955e-19,2.039756692462787e-19,1.0,-46.18,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,7.6,3.5,5.08,12.5,1.0213119536305245e-19,2.2251693883252616e-19,1.0,-54.8448,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,5.0,3.5,7.0,9.0,1.0342720482157692e-19,3.1781436540910044e-19,1.0,-48.1,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,7.6,3.5,7.0,10.92,1.045826097318387e-19,3.1776216901997864e-19,1.0,-56.7648,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,9.0,3.5,3.0,10.92,1.0850751549933033e-19,2.0156163956377073e-19,1.0,-54.1648,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,9.0,3.5,7.0,12.5,1.129708496065215e-19,3.0429641828004547e-19,1.0,-62.93,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,7.6,3.5,5.08,10.92,1.1633183145375363e-19,2.448530545752255e-19,1.0,-54.8448,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,5.0,3.5,5.08,9.0,1.1752113622884588e-19,2.3104168451091294e-19,1.0,-46.18,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,9.0,3.5,5.08,9.0,1.201723292558479e-19,3.214522023455321e-19,1.0,-56.2448,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,9.0,3.5,7.0,9.0,1.2511678036475088e-19,4.3340200573019483e-19,1.0,-58.1648,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,9.0,3.5,5.08,12.5,1.27018597839981e-19,2.4216368360866246e-19,1.0,-61.010000000000005,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,9.0,3.5,3.0,9.0,1.2712505049182032e-19,2.277480419510086e-19,1.0,-54.1648,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,7.6,3.5,3.0,12.5,1.3599551404540165e-19,1.7118269162885347e-19,1.0,-52.7648,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,5.0,3.5,7.0,12.5,1.3638042121770303e-19,2.3987713021336714e-19,1.0,-54.1648,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,7.6,3.5,7.0,12.5,1.3713142366571875e-19,2.801297615352891e-19,1.0,-61.53,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,9.0,3.5,7.0,10.92,1.3772933630810108e-19,3.476433513277693e-19,1.0,-62.93,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,7.6,3.5,7.0,9.0,1.422184713418205e-19,3.8924591555998367e-19,1.0,-56.764799999999994,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,5.0,3.5,3.0,12.5,1.4385361677355604e-19,1.4453474830920517e-19,1.0,-44.1,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,7.6,3.5,5.08,9.0,1.4417061435627138e-19,2.8675560748880957e-19,1.0,-54.8448,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,7.6,3.5,3.0,10.92,1.460639855419655e-19,1.8204894328330778e-19,1.0,-52.7648,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,9.0,3.5,5.08,10.92,1.4649394497708262e-19,2.6924589998107536e-19,1.0,-61.01,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,5.0,3.5,3.0,10.92,1.4974570828730222e-19,1.5021957938071853e-19,1.0,-44.1,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,5.0,3.5,7.0,10.92,1.5628916252816842e-19,2.6641501004393187e-19,1.0,-54.1648,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,9.0,3.5,3.0,12.5,1.5760560431717523e-19,1.8704796407883225e-19,1.0,-58.93,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,5.0,3.5,3.0,9.0,1.601689336379005e-19,1.6025411062277358e-19,1.0,-44.1,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,7.6,3.5,5.08,12.5,1.6163823905034195e-19,2.2215512163154237e-19,1.0,-59.61,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,7.6,3.5,7.0,10.92,1.6271515065970356e-19,3.1695450470000303e-19,1.0,-61.53,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,7.6,3.5,3.0,9.0,1.64526185062706e-19,2.0171596367797442e-19,1.0,-52.764799999999994,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,9.0,3.5,3.0,10.92,1.7169969243639618e-19,2.0125457784192883e-19,1.0,-58.93,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,5.0,3.5,5.08,12.5,1.7955922011240267e-19,1.8894143219975442e-19,1.0,-52.2448,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,7.6,3.5,5.08,10.92,1.8174285737609475e-19,2.443547881160874e-19,1.0,-59.61,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,9.0,3.5,5.08,9.0,1.8517537257485425e-19,3.205545562845472e-19,1.0,-61.01,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,9.0,3.5,7.0,9.0,1.899502015749827e-19,4.318141743832625e-19,1.0,-62.93,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,5.0,3.5,5.08,10.92,1.9507917373720897e-19,2.035655589146886e-19,1.0,-52.2448,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,5.0,3.5,7.0,9.0,1.955550998574596e-19,3.1666589621440445e-19,1.0,-54.1648,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,9.0,3.5,3.0,9.0,1.9795605620888012e-19,2.272832827690274e-19,1.0,-58.93,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,5.0,3.5,7.0,12.5,2.109258960157164e-19,2.393541323463834e-19,1.0,-58.93,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,7.6,3.5,3.0,12.5,2.1300459443271363e-19,1.709199002256545e-19,1.0,-57.53,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,7.6,3.5,7.0,9.0,2.1511063504636485e-19,3.8787966521963896e-19,1.0,-61.53,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,7.6,3.5,5.08,9.0,2.205437705671148e-19,2.8596810569626494e-19,1.0,-59.61,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,5.0,3.5,5.08,9.0,2.238967277930529e-19,2.304043870853806e-19,1.0,-52.2448,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,7.6,3.5,3.0,10.92,2.2707668148634523e-19,1.8172664011244474e-19,1.0,-57.53,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,5.0,3.5,7.0,10.92,2.3847307190291507e-19,2.6571527340684883e-19,1.0,-58.93,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,7.6,3.5,3.0,9.0,2.5264322832674823e-19,2.0127481791754224e-19,1.0,-57.53,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,5.0,3.5,5.08,12.5,2.7453288302734486e-19,1.8854455029561662e-19,1.0,-57.01,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,5.0,3.5,3.0,12.5,2.7478020679932394e-19,1.4425281542964384e-19,1.0,-50.1648,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,5.0,3.5,3.0,10.92,2.8428977562044045e-19,1.4989639733045465e-19,1.0,-50.1648,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,5.0,3.5,7.0,9.0,2.919263587343183e-19,3.1559396707576376e-19,1.0,-58.93,0.0,16.619999999999997,0.0,True,16.619999999999997
