rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,unstable,max_real
4.5,7.0,5.0,5.0,12.0,2.455151827672122e-20,4.1672128990819075e-20,1.0,-44.49,0.0,18.119999999999997,0.0,True,18.119999999999997
4.5,7.0,5.0,5.0,10.0,2.873028407783888e-20,4.744733358322169e-20,1.0,-44.49,0.0,18.119999999999997,0.0,True,18.119999999999997
4.5,7.0,5.0,3.0,12.0,3.470407906412028e-20,2.8503826421487584e-20,1.0,-42.49,0.0,18.119999999999997,0.0,True,18.119999999999997
4.5,7.0,5.0,5.0,8.0,3.6178148843019585e-20,5.741670819616685e-20,1.0,-44.49,0.0,18.119999999999997,0.0,True,18.119999999999997
4.5,7.0,5.0,3.0,10.0,3.6845631090768027e-20,3.0246478675667305e-20,1.0,-42.49,0.0,18.119999999999997,0.0,True,18.119999999999997
4.5,7.0,5.0,3.0,8.0,4.0279496112577894e-20,3.303979086387002e-20,1.0,-42.49,0.0,18.119999999999997,0.0,True,18.119999999999997
4.5,5.0,5.0,5.0,12.0,4.2406024794467575e-20,3.452590403705893e-20,1.0,-42.49,0.0,18.119999999999997,0.0,True,18.119999999999997
5.0,7.0,5.0,5.0,12.0,4.329783697031198e-20,4.159808824805991e-20,1.0,-48.1,0.0,18.119999999999997,0.0,True,18.119999999999997
4.5,5.0,5.0,5.0,10.0,4.6757890659562244e-20,3.7981203861167717e-20,1.0,-42.49,0.0,18.119999999999997,0.0,True,18.119999999999997
5.0,7.0,5.0,5.0,10.0,4.985717000932365e-20,4.7331660775609244e-20,1.0,-48.1,0.0,18.119999999999997,0.0,True,18.119999999999997
